scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,ram,storage,display_inch,processor
2026-02-11,2026-02-11 09:11:06,laptops,237641,Dell,58990,67000,Unavailable,https://www.vijaysales.com/p/237641/dell-inspiron-15-laptop-13th-gen-intel-core-i5-16gb-ddr4-ram-1tb-ssd-15-6-inch-39-62-cm-fhd-display-intel-uhd-graphics-backlit-keyboard-windows-11-ms-office-oin353034151rins1mo,https://vsprod.vijaysales.com/media/catalog/product/2/3/237641_1_.jpg,5,11.96,Computers and Laptops,Laptops,8.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,237640,HP,51990,67000,Unavailable,https://www.vijaysales.com/p/237640/hp-15-thin-light-laptop-13th-gen-intel-core-i5-16gb-ddr4-ram-512gb-ssd-15-6-inch-39-62-cm-fhd-display-intel-iris-x-graphics-dual-speakers-backlit-keyboard-windows-11-ms-office-15-fd0492tu,https://vsprod.vijaysales.com/media/catalog/product/2/3/237640_3_.jpg,5,22.4,Computers and Laptops,Laptops,8.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,237101,Dell,38999,47000,Unavailable,https://www.vijaysales.com/p/237101/dell-inspiron-15-laptop-13th-gen-intel-core-i3-8gb-ddr4-ram-512gb-ssd-15-6-inch-39-62-cm-fhd-display-intel-uhd-graphics-stereo-speakers-windows-11-ms-office-oin353010051rinb1mo,https://vsprod.vijaysales.com/media/catalog/product/2/3/237101_1_.jpg,5,17.02,Computers and Laptops,Laptops,16.0,512.0,15.6,Intel Core i3
2026-02-11,2026-02-11 09:11:06,laptops,236990,Acer,53000,93000,Unavailable,https://www.vijaysales.com/p/236990/store-display-unit-acer-alg-al15g-52-gaming-laptop-12th-gen-intel-core-i5-16gb-ddr4-ram-512gb-ssd-156-inch-396-cm-fhd-display-144hz-4gb-nvidia-geforce-rtx-2050-graphics-bluetooth-52-backlight-keyboard-windows-11-ms-office-un34csi00w,https://vsprod.vijaysales.com/media/catalog/product/2/3/236990_1_.jpg,5,43.01,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,236789,HP,69990,93990,Unavailable,https://www.vijaysales.com/p/236789/hp-victus-13th-gen-gaming-laptop-intel-core-i5-16gb-ddr4-ram-512gb-ssd-nvidia-geforce-rtx-3050-6gb-graphics-15-6-inch-39-62-cm-144-hz-full-hd-display-up-to-8-hours-battery-win-11-ms-office-15-fa1198tx,https://vsprod.vijaysales.com/media/catalog/product/2/3/236789_7_.jpg,4,25.53,Computers and Laptops,Gaming Laptops,8.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,236452,Dell,34000,48500,Unavailable,https://www.vijaysales.com/p/236452/store-display-unit-dell-vostro-3520-laptop-intel-core-i3-12th-gen-8gb-ram-512gb-ssd-156-inch-3962-cm-fhd-display-intel-uhd-graphics-windows-11-ms-office-vn3520vmn67002org1,https://vsprod.vijaysales.com/media/catalog/product/2/3/236452_1_.jpg,5,29.9,Computers and Laptops,Laptops,8.0,512.0,15.6,Intel Core i3
2026-02-11,2026-02-11 09:11:06,laptops,235844,Dell,78000,85500,Unavailable,https://www.vijaysales.com/p/235844/dell-inspiron-7440-2-in-1-laptop-13th-gen-intel-core-i5-1334u-16gb-ddr5-ram-512gb-ssd-14-inch-35-56-cm-fhd-display-intelr-irisr-xe-graphics-fingerprint-reader-windows-11-ms-office-oic7440134501rinu1,https://vsprod.vijaysales.com/media/catalog/product/2/3/235844_1.jpg,4,8.77,Computers and Laptops,2 in 1 Laptops,16.0,512.0,14.0,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,235736,Acer,76990,106990,Available,https://www.vijaysales.com/p/235736/acer-swift-go-laptop-intel-core-ultra-5-16gb-ram-512-gb-ssd-14-inch-35-56-cm-oled-wuxga-display-intel-arc-graphics-win-11-ms-office-nx-j2bsi-002,https://vsprod.vijaysales.com/media/catalog/product/2/3/235736_1_.jpg,5,28.04,Computers and Laptops,Laptops,16.0,512.0,14.0,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,235666,Dell,85999,105999,Available,https://www.vijaysales.com/p/235666/dell-inspiron-14-laptop-qualcomm-snapdragon-x-plus-16gb-lpddr5x-ram-512gb-ssd-14-inch-35-56-cm-fhd-plus-ips-display-qualcomm-adreno-graphics-win-11-ms-office-oin5441100101ring1,https://vsprod.vijaysales.com/media/catalog/product/2/3/235666_1_.jpg,5,18.87,Computers and Laptops,Laptops,16.0,512.0,14.0,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,235154,Dell,91990,107499,Available,https://www.vijaysales.com/p/235154/dell-g15-gaming-laptop-13th-gen-core-i7-16-gb-ram-1tb-ssd-15-6-inch-39-62cm-nvidia-6gb-graphics-win-11-office-ogn5530112201rin,https://vsprod.vijaysales.com/media/catalog/product/2/3/235154_1.jpg,4,14.43,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Snapdragon X
2026-02-11,2026-02-11 09:11:06,laptops,235152,Dell,81999,89499,Unavailable,https://www.vijaysales.com/p/235152/dell-g15-5530-13th-gen-gaming-laptop-intel-core-i5-13450hx-16gb-ddr5-ram-512gb-ssd-nvidia-rtx-3050-6gb-gddr6-15-6-inch-39-62cm-fhd-120hz-display-backlit-keyboard-4-zone-rgb-win-11-ms-office-ogn55301124g01rin-5530,https://vsprod.vijaysales.com/media/catalog/product/2/3/235152_1_.jpg,4,8.38,Computers and Laptops,Gaming Laptops,24.0,512.0,15.6,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,235135,HP,41990,56000,Unavailable,https://www.vijaysales.com/p/235135/hp-15-laptop-amd-ryzen-5-16gb-ram-512gb-ssd-15-6-inch-39-6-cm-fhd-display-amd-radeon-graphics-win-11-15-fc0156au,https://vsprod.vijaysales.com/media/catalog/product/2/3/235135_3_.jpg,4,25.02,Computers and Laptops,Laptops,16.0,512.0,15.6,Ryzen 5
2026-02-11,2026-02-11 09:11:06,laptops,234980,Dell,97990,115000,Available,https://www.vijaysales.com/p/234980/dell-inspiron-14-plus-laptop-intel-core-ultra-7-16gb-ram-1tb-storage-14-inch-35-56-cm-display-intel-arc-graphics-win-11-ms-office-oin74402204a1rinu1-7440,https://vsprod.vijaysales.com/media/catalog/product/2/3/234980_1_.jpg,5,14.79,Computers and Laptops,Laptops,16.0,512.0,14.0,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,234863,Lenovo,32490,45000,Unavailable,https://www.vijaysales.com/p/234863/lenovo-ideapad-3-14iau7-laptop-12th-gen-core-i3-8-gb-ram-512-gb-ssd-14-inches-35-56-cm-display-intel-uhd-graphics-win-11-office-82rj00fhin,https://vsprod.vijaysales.com/media/catalog/product/2/3/234863.jpg,5,27.8,Computers and Laptops,Laptops,8.0,512.0,14.0,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,234861,HP,32000,45000,Unavailable,https://www.vijaysales.com/p/234861/hp-14-laptop-amd-ryzen-3-8gb-ram-512-ssd-14-inch-35-6-cm-fhd-display-thin-light-amd-radeon-graphics-win-11-ms-office-14-em0025au,https://vsprod.vijaysales.com/media/catalog/product/2/3/234861.jpg,4,28.89,Computers and Laptops,Laptops,8.0,512.0,14.0,Ryzen 3
2026-02-11,2026-02-11 09:11:06,laptops,234770,Dell,93990,130000,Unavailable,https://www.vijaysales.com/p/234770/dell-g15-5530-gaming-laptop-13th-gen-intel-core-i7-13650hx-16gb-ddr5-ram-1tb-ssd-15-6-inch-39-62-cm-fhd-display-6gb-nvidia-geforce-rtx-3050-graphics-windows-11-ms-office-ogn55301123g01rin,https://vsprod.vijaysales.com/media/catalog/product/2/3/234770_1.jpg,4,27.7,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Intel Core i7
2026-02-11,2026-02-11 09:11:06,laptops,234768,Dell,79990,112000,Unavailable,https://www.vijaysales.com/p/234768/dell-inspiron-laptop-intel-core-ultra-5-14th-gen-16gb-ram-512gb-ssd-13-3-inch-qhd-plus-display-intel-arc-graphics-win-11-ms-office-in5330nt1nm001ors1-5330,https://vsprod.vijaysales.com/media/catalog/product/2/3/234768_1_.jpg,4,28.58,Computers and Laptops,Laptops,16.0,512.0,13.3,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,234754,Dell,62999,70000,Available,https://www.vijaysales.com/p/234754/dell-inspiron-5430-13th-gen-laptop-intel-core-i5-1335u-8gb-lpddr5-ram-512gb-ssd-14-inch-35-56-cm-fhd-display-intel-iris-xe-graphics-win-11-ms-office-in5430fr0kc001ors1-5430,https://vsprod.vijaysales.com/media/catalog/product/2/3/234754_1_.jpg,4,10.0,Computers and Laptops,Laptops,16.0,512.0,14.0,Intel Core i5
2026-02-11,2026-02-11 09:11:06,laptops,232252,Acer,80990,106999,Unavailable,https://www.vijaysales.com/p/232252/acer-nitro-v-anv15-41-gaming-laptop-amd-ryzen-7-16gb-ram-512gb-ssd-15-6-inch-39-6-cm-full-hd-display-nvidia-geforce-rtxtm-4050-6gb-graphics-windows-11-ms-office-un-qpesi-002,https://vsprod.vijaysales.com/media/catalog/product/2/3/232252_1_.jpg,5,24.31,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Ryzen 7
2026-02-11,2026-02-11 09:11:06,laptops,232251,Acer,67000,94999,Unavailable,https://www.vijaysales.com/p/232251/acer-nitro-v-anv15-41-gaming-laptop-amd-ryzen-7-16gb-ram-512gb-ssd-15-6-inch-39-6-cm-144-hz-full-hd-display-nvidia-geforce-rtx-3050-6gb-graphics-windows-11-ms-office-un-qpfsi-007,https://vsprod.vijaysales.com/media/catalog/product/2/3/232251_1_.jpg,5,29.47,Computers and Laptops,Gaming Laptops,16.0,512.0,15.6,Ryzen 7
