scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,capacity_litres,star_rating,model_name
2026-02-03,2026-02-03 12:16:03,refrigerator,222827,Whirlpool,32990,45000,Available,https://www.vijaysales.com/p/222827/samsung-308-litres-2-star-forst-free-double-door-with-inverter-compressor-ifinveltdf355as2stl-alpha-steel,https://vsprod.vijaysales.com/media/catalog/product/2/2/222827-image1_1.jpg,4,26.69,Large Appliances,Double Door,308,2,"IFINVELTDF355AS2STL, Alpha Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,244763,Samsung,16990,21999,Unavailable,https://www.vijaysales.com/p/244763/samsung-183-litres-5-star-single-door-direct-cool-refrigerator-toughened-glass-premium-veg-box-base-stand-drawer-clear-view-lamp-stabilizer-free-operation-rr20f2825br-burgundy-red,https://vsprod.vijaysales.com/media/catalog/product/2/4/244763_1_.jpg,4,22.77,Large Appliances,Single Door,183,5,"RR20F2825BR, Burgundy Red"
2026-02-03,2026-02-03 12:16:03,refrigerator,221428,Bosch,79990,108090,Available,https://www.vijaysales.com/p/P190437/221428/bosch-6-series-508-litres-2-star-frost-free-double-door-bottom-mount-refrigerator-with-vario-inverter-compressor-kgn56lb42i-black,https://vsprod.vijaysales.com/media/catalog/product/2/2/221428-image1_2.jpg,4,26.0,Large Appliances,Double Door,508,2,Black
2026-02-03,2026-02-03 12:16:03,refrigerator,224415,IFB,16990,24500,Available,https://www.vijaysales.com/p/224415/ifb-206-litres-4-star-direct-cool-single-door-refrigerator-with-converti-cool-technology-advanced-inverter-compressor-ifbdc-2324iks-black-steel,https://vsprod.vijaysales.com/media/catalog/product/2/2/224415-image.jpg,4,30.65,Large Appliances,Single Door,206,4,"IFBDC-2324IKS, Black Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,230718,Liebherr,19990,21290,Available,https://www.vijaysales.com/p/230718/liebherr-191-litres-5-star-direct-cool-single-door-refrigerator-with-adjustable-shelves-handsfree-opening-dfptse1931-teal-strings,https://vsprod.vijaysales.com/media/catalog/product/2/3/230718_1_.jpg,4,6.11,Large Appliances,Single Door,191,5,"DFPTSE1931, Teal Strings"
2026-02-03,2026-02-03 12:16:03,refrigerator,230573,Godrej,34990,53490,Available,https://www.vijaysales.com/p/230573/godrej-330-lites-2-star-frost-free-inverter-refrigerator-with-convertible-4-in-1-modes-360-degree-cooling-2-25l-door-storage-eon-vibe-matt-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/230573_1__1.jpg,5,34.59,Large Appliances,Double Door,330,2,"Eon Vibe, Matt Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,227319,Bosch,36990,58990,Available,https://www.vijaysales.com/p/227319/bosch-334-litres-2-star-frost-free-double-door-refrigerator-with-vitafresh-system-multi-airflow-ice-box-ctc35s02ni-shiney-silver,https://vsprod.vijaysales.com/media/catalog/product/2/2/227319-image.jpg,5,37.29,Large Appliances,Double Door,334,2,"CTC35S02NI, Shiney Silver"
2026-02-03,2026-02-03 12:16:03,refrigerator,214877,Haier,55450,80490,Available,https://www.vijaysales.com/p/P222638/214877/haier-445-litres-2-star-double-door-frost-free-inverter-refrigerator-bottom-mounted-14-in-1-convertible-triple-inverter-dual-fan-tech-hrb-4952ckg-p-black-glass,https://vsprod.vijaysales.com/media/catalog/product/h/r/hrb4952ckgp_1_.jpg,4,31.11,Large Appliances,Double Door,445,2,"HRB-4952CKG-P, Black Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,242298,Haier,69990,126490,Available,https://www.vijaysales.com/p/242298/haier-602-litres-2-star-double-door-side-by-side-refrigerator-convertible-5-in-1-smart-sense-ai-smart-connectivity-digital-control-panel-jumbo-ice-maker-hrs-682pmgu1-mirror-glass,https://vsprod.vijaysales.com/media/catalog/product/2/4/242298_1_.jpg,4,44.67,Large Appliances,Side By Side,602,2,"HRS-682PMGU1, Mirror Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,225701,Liebherr,17640,21290,Available,https://www.vijaysales.com/p/225701/liebherr-191-litres-3-star-direct-cool-single-door-refrigerator-with-hands-free-opening-drystorage-vegetable-freshbox-dfpsic-1921-silver,https://vsprod.vijaysales.com/media/catalog/product/2/2/225701_1_.jpg,4,17.14,Large Appliances,Single Door,191,3,"DFPsiC 1921, Silver"
2026-02-03,2026-02-03 12:16:03,refrigerator,203542,LG,32490,46499,Unavailable,https://www.vijaysales.com/p/P154816/203542/lg-340-litres-2-star-frost-free-double-door-refrigerator-gln342sdsy-dazzle-steel,https://vsprod.vijaysales.com/media/catalog/product/2/0/203542-image1_2.jpg,4,30.13,Large Appliances,Double Door,322,2,"GL-N342SDSY, Dazzle Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,217434,Godrej,27490,39500,Available,https://www.vijaysales.com/p/P217434/217434/godrej-244-litres-2-star-frost-free-refrigerator-with-inverter-compressor-rt-eoncrystal-280b-ri-onyx-black,https://vsprod.vijaysales.com/media/catalog/product/2/1/217434_1_.jpg,4,30.41,Large Appliances,Double Door,244,2,"RT Eon Crystal 280B RI OB, Onyx Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,231934,Samsung,44490,65990,Available,https://www.vijaysales.com/p/231934/samsung-396-litres-2-star-frost-free-double-door-refrigerator-with-twin-cooling-plus-convertible-5-in-1-rt41dg6a2bb1hl-black-matt,https://vsprod.vijaysales.com/media/catalog/product/2/3/231934-image.jpg,5,32.58,Large Appliances,Double Door,396,2,"RT41DG6A2BB1HL, Black Matt"
2026-02-03,2026-02-03 12:16:03,refrigerator,246522,LG,122990,149999,Available,https://www.vijaysales.com/p/246522/lg-610-litres-3-star-french-door-refrigerator-with-fresh-converter-convertilble-wi-fi-convertible-hygiene-fresh-smart-learner-gv-b25ffgmb-black-glass-finish,https://vsprod.vijaysales.com/media/catalog/product/2/4/246522_2__1.jpg,4,18.01,Large Appliances,Side By Side,610,3,"GV-B25FFGMB, Black Glass Finish"
2026-02-03,2026-02-03 12:16:03,refrigerator,215015,Samsung,28990,41990,Unavailable,https://www.vijaysales.com/p/215015/samsung-256-litres-2-star-frost-free-convertible-3-in-1-double-door-refrigerator-with-inverter-deodorizer-rt30c3732s8-nl,https://vsprod.vijaysales.com/media/catalog/product/2/1/215015-image1_1.jpg,4,30.96,Large Appliances,Double Door,256,2,RT30C3732S8/NL
