scrape_date,scrape_timestamp,category,sku,title,brand,price,mrp,vsp,availability,product_url,image_url,categories,rating,review_count
2026-02-07,2026-02-07 08:46:31,mobiles,248206,"OnePlus 15 5G (12GB RAM, 256GB Storage) | Snapdragon 8 Elite Gen 5 | 7300mAh Battery | Lifetime Display Warranty | Ultra Violet",OnePlus,72999,76999,72999,Available,https://www.vijaysales.com/p/P248207/248206/oneplus-15-5g-12gb-ram-256gb-storage-ultra-violet-snapdragon-8-elite-gen-5-7300mah-battery-with-120w-charge-lifetime-display-warranty,https://vsprod.vijaysales.com/media/catalog/product/v/i/violet_7_.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,235691,"Redmi Note 14 5G (8GB RAM, 128GB Storage) | MediaTek Dimensity 7300-Ultra | 5110mAh Battery | 6.67-inch 120Hz Display | Mystique White",Redmi,16999,22999,16999,Available,https://www.vijaysales.com/p/P235684/235691/redmi-note-14-5g-8gb-ram-128gb-storage-mystique-white,https://vsprod.vijaysales.com/media/catalog/product/r/e/redminote14-5g-white_1__1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,244974,"vivo T4R 5G (12GB RAM, 256GB Storage) | Dimensity 7400 | 5700mAh Battery | Studio Aura Light | Arctic White",Vivo,24999,26999,24999,Available,https://www.vijaysales.com/p/P244970/244974/vivo-t4r-5g-12gb-ram-256gb-storage-arctic-white,https://vsprod.vijaysales.com/media/catalog/product/v/i/vivo_t4r_white_1__3.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,243442,"vivo V60 5G (8GB RAM, 128GB Storage) | Snapdragon 7 Gen 4 | 6500mAh Battery | IP68 & IP69 Rating | Mist Gray",Vivo,34999,41999,36999,Available,https://www.vijaysales.com/p/P243444/243442/vivo-v60-5g-8gb-ram-128gb-storage-mist-gray,https://vsprod.vijaysales.com/media/catalog/product/v/i/vivo_v60_grey_pdp_1__1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,236556,"OnePlus 13 5G (16GB RAM, 512GB Storage) | Snapdragon 8 Elite | 6000mAh Battery | Smarter with Oneplus AI | Black Eclipse",OnePlus,67999,79999,76990,Available,https://www.vijaysales.com/p/P236557/236556/oneplus-13-5g-16gb-ram-512gb-storage-black-eclipse,https://vsprod.vijaysales.com/media/catalog/product/2/3/236557_1__1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,249465,"realme 16 Pro 5G (8GB RAM, 256GB Storage) | Dimensity 7300 Max | 7000mAh Battery | 200MP Camera | Master Gold",realme,33999,36999,33999,Available,https://www.vijaysales.com/p/P249461/249465/realme-16-pro-5g-8gb-ram-256gb-storage-master-gold,https://vsprod.vijaysales.com/media/catalog/product/1/7/1767607330558648a26c6a4294b058149e0a23522ff6b.png.webp_1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,240180,Lava Gem 2025 Dual Sim Keypad Phone | 2.8 inch (7.11 cm) LCD Display | Camera & Flash | 2575mAh Smart AI Powerful Battery | Wireless FM & Recording | Stereo Speakers (Blue Chrome),Lava,1539,1539,1539,Available,https://www.vijaysales.com/p/P240181/240180/lava-gem-2025-dual-sim-keypad-phone-2-8-inch-7-11-cm-lcd-display-camera-flash-2575mah-smart-ai-powerful-battery-wireless-fm-recording-stereo-speakers-blue-chrome,https://vsprod.vijaysales.com/media/catalog/product/2/4/240180_1_.jpg,Electronics > Mobiles and Accessories > Mobiles > Feature Phones,,
2026-02-07,2026-02-07 08:46:31,mobiles,244105,"Google Pixel 10 Pro 5G (16GB RAM, 256GB Storage) | Google Tensor G5 | 4870mAh Battery | Smarter with Google Gemini AI | Jade",Google,109999,109999,109999,Available,https://www.vijaysales.com/p/P244102/244105/google-pixel-10-pro-5g-16gb-ram-256gb-jade,https://vsprod.vijaysales.com/media/catalog/product/p/1/p10_pro_jade.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,245977,"vivo V60e 5G (8GB RAM, 128GB Storage) | MediaTek Dimensity | 6500mAh Battery | IP68/IP69 Rating | Elite Purple",Vivo,29499,34999,31999,Available,https://www.vijaysales.com/p/P245977/245977/vivo-v60e-5g-8gb-ram-128gb-storage-elite-purple,https://vsprod.vijaysales.com/media/catalog/product/v/i/vivo-v60e-elite-purple_1_.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,250992,"Redmi Note 15 5G (8GB RAM, 128GB Storage) | Snapdragon 6 Gen 3 | 5520mAh Battery | IP65/IP66 Rating | Glacier Blue",Redmi,22999,26999,22999,Available,https://www.vijaysales.com/p/P250991/250992/redmi-note-15-5g-8gb-ram-128gb-storage-glacier-blue,https://vsprod.vijaysales.com/media/catalog/product/2/5/250992_1_.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
