scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,screen_size,resolution
2026-02-02,2026-02-02 10:51:36,television,239486,TCL,65990,180890,Available,https://www.vijaysales.com/p/P239481/239486/tcl-p6k-series-185cm-75-inch-4k-ultra-hd-led-google-tv-aipq-processor-hdr10-hlg-memc-2-0-channel-metallic-bezel-less-75p6k,https://vsprod.vijaysales.com/media/catalog/product/2/3/239486_1.jpg,5,63.52,Television and Entertainment,4K Ultra HD,75,4K UHD
2026-02-02,2026-02-02 10:51:36,television,239250,TCL,14490,23990,Available,https://www.vijaysales.com/p/P239250/239250/tcl-80cm-32-inch-fhd-smart-google-qled-tv-google-cast-hdr-10-dolby-audio-32s5k,https://vsprod.vijaysales.com/media/catalog/product/2/3/239250_1_.jpg,4,39.6,Television and Entertainment,Full HD,32,Full HD
2026-02-02,2026-02-02 10:51:36,television,238455,Vise,47990,101400,Available,https://www.vijaysales.com/p/P235075/238455/vise-by-vijay-sales-165cm-65-inch-4k-ultra-hd-led-smart-google-tv-dolby-vision-hdr10-dolby-atmos-google-assistant-vs65uga8a,https://vsprod.vijaysales.com/media/catalog/product/v/i/vise_4k_uhd_led_vs65uga8a_front_.jpg,4,52.67,Television and Entertainment,4K Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,234913,Sansui,29990,49490,Unavailable,https://www.vijaysales.com/p/P234913/234913/sansui-127-cm-50-inches-4k-ultra-hd-qled-smart-tv-60hz-refresh-rate-hdr10-dolby-vision-jsw50gsqled-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/234913_1_.jpg,5,39.4,Television and Entertainment,4K Ultra HD,50,4K UHD
2026-02-02,2026-02-02 10:51:36,television,234786,Sansui,114990,211390,Available,https://www.vijaysales.com/p/P220339/234786/sansui-216cm-85-inches-4k-uhd-smart-led-tv-jsw85gsuhdff,https://vsprod.vijaysales.com/media/catalog/product/2/3/234786_1_.jpg,4,45.6,Television and Entertainment,4K Ultra HD,85,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231719,Sony,48790,79900,Unavailable,https://www.vijaysales.com/p/231719/sony-bravia-2-50-inches-126-cm-4k-ultra-hd-smart-led-google-tv-with-dolby-audio-google-assistant-built-in-voice-search-k-50s20b-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/231719-image.jpg,4,38.94,Television and Entertainment,4K Ultra HD,50,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231717,Sony,26990,34900,Unavailable,https://www.vijaysales.com/p/231717/sony-80-cm-32-inches-led-2k-hdr-smart-google-tv-with-dolby-audio-x-reality-pro-kd-32w825-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/231717-image.jpg,4,22.66,Television and Entertainment,HD Ready,32,HD Ready
2026-02-02,2026-02-02 10:51:36,television,231496,Vise,48850,110600,Unavailable,https://www.vijaysales.com/p/231496/vise-165-cm-65-inches-hdr-smart-led-tv-with-dolby-vision-built-in-wi-fi-vs65qga8a,https://vsprod.vijaysales.com/media/catalog/product/2/3/231496-image.jpg,5,55.83,Television and Entertainment,Ultra HD,65,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231411,Sony,70610,105900,Available,https://www.vijaysales.com/p/P237494/231411/sony-bravia-iii-50-inches-126cm-4k-ultra-hd-smart-led-google-tv-with-dolby-audio-google-assistant-built-in-voice-search-k-50s30-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/231411-image.jpg,5,33.32,Television and Entertainment,4K Ultra HD,50,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230999,Sony,282990,413900,Available,https://www.vijaysales.com/p/P230873/230999/sony-bravia-7-189-cm-75-inches-mini-led-qled-google-tv-with-dolby-vision-hdr-chromecast-built-in-k75xr70-2024-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/3/230999-image_13.jpg,4,31.63,Television and Entertainment,Ultra HD,75,4K UHD
